age,duration_latest,count_call_current,days_last_campaign,count_call_previous,evr_quarterly,cpi_monthly,cci_monthly,type_employment,highest_educ,month_last_contacted,Response,civil_status_Cat_1_m***d,civil_status_Cat_2_s***e,civil_status_Cat_3_u***n,home_loan_Cat_1_u***n,home_loan_Cat_2_y***s,personal_loan_Cat_1_u***n,personal_loan_Cat_2_y***s,contact_medium_Cat_1_t***e,dow_last_contacted_Cat_1_m***n,dow_last_contacted_Cat_2_t***u,dow_last_contacted_Cat_3_t***e,dow_last_contacted_Cat_4_w***d,credit_facility_Cat_1_u***n,credit_facility_Cat_2_y***s,previous_campaign_Cat_1_n***t,previous_campaign_Cat_2_s***s
30,2.6687382174857683,1.212364282258622,0,0,-1.8,92.893,-46.2,0.10754749869269653,0.1093011688634668,0.06405997103671522,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
31,6.5572133593805715,1.1520477307778378,0,0,1.4,93.444,-36.1,0.12959621024137152,0.13615205585725368,0.10668207202002696,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41,8.63693813563646,0.0,0,0,1.4,94.465,-41.8,0.06961058793586154,0.10416076988395132,0.10486891385767791,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
38,5.703090776354412,0.0,0,0,1.1,93.994,-36.4,0.10238907849829351,0.1093011688634668,0.06405997103671522,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
47,6.956723032590106,0.0,0,0,-2.9,92.469,-33.6,0.10654827968923418,0.08252674477840041,0.09012244897959183,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
69,6.853835239724059,0.5548258291803478,0,0,-2.9,92.963,-40.8,0.08280254777070063,0.1093011688634668,0.10486891385767791,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
26,9.98290886294217,0.0,0,0,-1.1,94.601,-49.5,0.10754749869269653,0.13615205585725368,0.42454394693200664,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
41,10.76116240673569,0.5548258291803478,0,0,1.4,93.918,-42.7,0.10205761316872428,0.11116071428571428,0.09012244897959183,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36,10.558051372554928,0.0,0,0,1.4,94.465,-41.8,0.06961058793586154,0.1093011688634668,0.10486891385767791,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
31,5.047394137275119,0.5548258291803478,0,0,1.4,94.465,-41.8,0.07694601849090367,0.1093011688634668,0.10486891385767791,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
33,8.255963002149233,0.0,0,0,1.4,93.444,-36.1,0.12959621024137152,0.13615205585725368,0.10668207202002696,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
33,6.138005351714715,0.0,0,0,-0.1,93.2,-42.0,0.06961058793586154,0.07805255023183925,0.1022400919012062,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30,7.537035029938079,0.5548258291803478,0,0,1.4,94.465,-41.8,0.06961058793586154,0.08252674477840041,0.10486891385767791,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
30,5.679792026497926,0.9861469659570709,0,0,-0.1,93.2,-42.0,0.11289674568099639,0.13615205585725368,0.1022400919012062,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
50,1.1777380143119422,0.0,0,0,-0.1,93.2,-42.0,0.08280254777070063,0.07805255023183925,0.1022400919012062,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
38,8.588747683274594,0.778381109247145,0,0,1.4,93.918,-42.7,0.06961058793586154,0.14285714285714285,0.09012244897959183,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
25,7.833917384435121,0.0,1,1,-1.1,94.601,-49.5,0.3177441540577717,0.1093011688634668,0.42454394693200664,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,5.111552363313224,0.778381109247145,0,0,1.1,93.994,-36.4,0.07694601849090367,0.13615205585725368,0.06405997103671522,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
45,10.745676737477003,0.0,0,1,-1.8,93.075,-47.1,0.06961058793586154,0.10416076988395132,0.20618556701030927,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
55,9.773871613810922,0.9861469659570709,0,0,1.1,93.994,-36.4,0.2544338335607094,0.1093011688634668,0.06405997103671522,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
45,8.311392709388702,0.0,0,0,1.4,93.918,-42.7,0.06961058793586154,0.07805255023183925,0.09012244897959183,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39,7.537035029938079,0.0,0,0,1.4,93.918,-42.7,0.12959621024137152,0.1093011688634668,0.09012244897959183,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
44,4.1347587330573665,1.1520477307778378,0,0,1.4,93.444,-36.1,0.10754749869269653,0.11116071428571428,0.10668207202002696,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
34,5.348329749946872,0.0,0,0,1.1,93.994,-36.4,0.06961058793586154,0.07805255023183925,0.06405997103671522,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
34,10.819710263659863,0.0,0,1,-1.8,92.893,-46.2,0.10754749869269653,0.11116071428571428,0.06405997103671522,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,8.482967874929525,0.0,0,0,-3.4,92.431,-26.9,0.2544338335607094,0.1093011688634668,0.42454394693200664,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
36,8.304535701075318,0.0,0,0,1.1,93.994,-36.4,0.06961058793586154,0.07805255023183925,0.06405997103671522,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
24,8.34537874524003,0.0,1,1,-1.8,92.893,-46.2,0.12959621024137152,0.07805255023183925,0.06405997103671522,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
24,10.223953655339932,0.778381109247145,0,0,1.4,93.918,-42.7,0.12959621024137152,0.1093011688634668,0.09012244897959183,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
37,8.576545638374075,0.778381109247145,0,0,1.4,93.918,-42.7,0.06961058793586154,0.08252674477840041,0.09012244897959183,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
52,7.667815145441195,0.0,0,0,-0.1,93.2,-42.0,0.10754749869269653,0.13615205585725368,0.1022400919012062,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31,5.4565120946369445,0.0,0,0,-0.1,93.2,-42.0,0.12959621024137152,0.1093011688634668,0.1022400919012062,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41,9.397917692504834,0.5548258291803478,1,3,-1.8,93.369,-34.8,0.12959621024137152,0.13615205585725368,0.5142231947483589,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60,6.0427194039304535,0.0,0,0,-1.8,93.075,-47.1,0.06961058793586154,0.10416076988395132,0.20618556701030927,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
35,9.53372110452613,0.0,0,0,-0.1,93.2,-42.0,0.12959621024137152,0.13615205585725368,0.1022400919012062,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50,7.205440849087595,0.0,0,0,1.1,93.994,-36.4,0.12959621024137152,0.13615205585725368,0.06405997103671522,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
50,7.418465796066891,0.5548258291803478,0,1,-0.1,93.2,-42.0,0.12959621024137152,0.13615205585725368,0.1022400919012062,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,8.162969287248227,0.778381109247145,0,0,1.1,93.994,-36.4,0.06961058793586154,0.10416076988395132,0.06405997103671522,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
33,9.057069809060689,0.0,0,0,-1.1,94.199,-37.5,0.10754749869269653,0.11116071428571428,0.45397489539748953,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
42,6.4159509206896095,0.5548258291803478,0,0,-0.1,93.2,-42.0,0.11289674568099639,0.13615205585725368,0.1022400919012062,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
77,8.63693813563646,0.0,0,0,-3.4,92.431,-26.9,0.2544338335607094,0.13615205585725368,0.42454394693200664,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32,5.922061833690446,0.5548258291803478,0,0,1.1,93.994,-36.4,0.12959621024137152,0.1093011688634668,0.06405997103671522,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
43,10.737900231041406,0.9861469659570709,0,0,1.1,93.994,-36.4,0.07694601849090367,0.1093011688634668,0.06405997103671522,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
57,8.642893820585561,0.0,0,0,-2.9,92.201,-31.4,0.2544338335607094,0.13615205585725368,0.10668207202002696,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
47,7.756761930259297,0.9861469659570709,0,0,1.4,93.918,-42.7,0.12959621024137152,0.1093011688634668,0.09012244897959183,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
44,10.07469960343443,0.5548258291803478,0,0,-0.1,93.2,-42.0,0.08280254777070063,0.13615205585725368,0.1022400919012062,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
51,8.297658465371956,0.0,0,1,-1.8,92.893,-46.2,0.08280254777070063,0.11116071428571428,0.06405997103671522,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28,6.081376389863485,1.0447286486013656,0,0,-1.8,92.893,-46.2,0.07694601849090367,0.1093011688634668,0.06405997103671522,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36,6.800461960875629,1.2271857292975796,0,0,1.4,93.918,-42.7,0.12959621024137152,0.1093011688634668,0.09012244897959183,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
30,7.972857350485341,0.0,0,0,1.1,93.994,-36.4,0.06961058793586154,0.14285714285714285,0.06405997103671522,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30,10.13086384615338,0.5548258291803478,0,0,1.4,93.918,-42.7,0.12959621024137152,0.13615205585725368,0.09012244897959183,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
32,6.100429925545918,0.0,0,1,-0.1,93.2,-42.0,0.12959621024137152,0.1093011688634668,0.1022400919012062,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,9.254269864690583,0.0,0,0,-0.1,93.2,-42.0,0.07694601849090367,0.1093011688634668,0.1022400919012062,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
40,9.349471984978955,0.90402589939525,0,0,1.1,93.994,-36.4,0.06961058793586154,0.10416076988395132,0.06405997103671522,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
41,9.521298318483737,0.5548258291803478,0,0,-1.8,92.893,-46.2,0.11289674568099639,0.1093011688634668,0.06405997103671522,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
44,6.193090928895059,0.0,0,0,1.4,93.918,-42.7,0.12959621024137152,0.1093011688634668,0.09012244897959183,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
46,8.975581432238629,0.5548258291803478,0,0,1.1,93.994,-36.4,0.06961058793586154,0.10416076988395132,0.06405997103671522,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
36,7.956944799106076,0.5548258291803478,0,0,1.4,93.918,-42.7,0.07694601849090367,0.1093011688634668,0.09012244897959183,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46,7.69487101774234,0.5548258291803478,0,0,1.1,93.994,-36.4,0.06961058793586154,0.10416076988395132,0.06405997103671522,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
31,8.63693813563646,0.0,0,0,-1.8,92.893,-46.2,0.07694601849090367,0.1093011688634668,0.06405997103671522,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
56,5.858878770318779,0.5548258291803478,0,0,-1.8,92.893,-46.2,0.06961058793586154,0.10416076988395132,0.06405997103671522,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
25,9.554289957921121,0.0,0,0,1.4,93.918,-42.7,0.07694601849090367,0.07805255023183925,0.09012244897959183,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
53,7.774136915159039,0.0,0,0,-0.1,93.2,-42.0,0.11289674568099639,0.1093011688634668,0.1022400919012062,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
49,7.260673800472151,0.5548258291803478,0,0,1.4,94.465,-41.8,0.06961058793586154,0.10416076988395132,0.10486891385767791,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
40,2.375169959599701,0.90402589939525,0,0,-0.1,93.2,-42.0,0.11289674568099639,0.1093011688634668,0.1022400919012062,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,7.418465796066891,0.0,1,4,-1.1,94.601,-49.5,0.3177441540577717,0.1093011688634668,0.42454394693200664,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,7.314543052946246,0.0,0,0,-0.1,93.2,-42.0,0.12959621024137152,0.07805255023183925,0.1022400919012062,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
31,5.632344461019318,0.0,0,0,-0.1,93.2,-42.0,0.1430274135876043,0.11116071428571428,0.1022400919012062,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
28,7.387801578382946,0.0,0,1,-3.4,92.431,-26.9,0.07694601849090367,0.07805255023183925,0.42454394693200664,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,6.660811761310742,0.90402589939525,0,0,1.4,94.465,-41.8,0.06961058793586154,0.07805255023183925,0.10486891385767791,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
44,7.7999510201041575,0.0,0,0,-1.8,93.075,-47.1,0.11289674568099639,0.13615205585725368,0.20618556701030927,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42,8.331843634620501,0.778381109247145,0,0,1.4,94.465,-41.8,0.12959621024137152,0.08252674477840041,0.10486891385767791,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
41,3.1272001097717026,0.0,0,0,1.1,93.994,-36.4,0.06961058793586154,0.08252674477840041,0.06405997103671522,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
60,6.211125145740596,0.90402589939525,0,0,1.4,94.465,-41.8,0.2544338335607094,0.13615205585725368,0.10486891385767791,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29,10.424202717976057,0.778381109247145,0,0,1.4,93.444,-36.1,0.12959621024137152,0.1093011688634668,0.10668207202002696,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
53,7.924782727268313,0.5548258291803478,0,0,-2.9,92.963,-40.8,0.10654827968923418,0.10416076988395132,0.10486891385767791,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
60,6.759529841397488,1.0447286486013656,0,2,-3.4,92.431,-26.9,0.10754749869269653,0.10416076988395132,0.42454394693200664,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,7.575190042396823,0.0,0,0,1.4,94.465,-41.8,0.12959621024137152,0.13615205585725368,0.10486891385767791,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
